Level,Residency,TermCode,TermStartDate,Headcount,CourseEnrolment,AttemptedCredits
CapU,Domestic,200820,5/1/2008 0:00,2402,7080,11786.75
CapU,Domestic,200830,9/1/2008 0:00,6424,29209,62389.75
CapU,Domestic,200910,1/1/2009 0:00,6466,29328,59550.5
CapU,Domestic,200920,5/1/2009 0:00,2697,7553,12933.25
CapU,Domestic,200930,9/1/2009 0:00,7093,31912,68094.25
CapU,Domestic,201010,1/1/2010 0:00,6927,30665,64532.5
CapU,Domestic,201020,5/1/2010 0:00,2885,7268,12212
CapU,Domestic,201030,9/1/2010 0:00,7311,32815,69764.5
CapU,Domestic,201110,1/1/2011 0:00,7141,28803,65603
CapU,Domestic,201120,5/1/2011 0:00,2952,6276,12964.75
CapU,Domestic,201130,9/1/2011 0:00,7351,29585,70346.75
CapU,Domestic,201210,1/1/2012 0:00,7079,28653,65725.75
CapU,Domestic,201220,5/1/2012 0:00,2751,5644,12958
CapU,Domestic,201230,9/1/2012 0:00,7456,29752,72097.5
CapU,Domestic,201310,1/1/2013 0:00,7332,28810,67695.25
CapU,Domestic,201320,5/1/2013 0:00,2872,5665,12872.25
CapU,Domestic,201330,9/1/2013 0:00,7053,27967,67388
CapU,Domestic,201410,1/1/2014 0:00,6653,26120,62230.5
CapU,Domestic,201420,5/1/2014 0:00,2583,5161,12492.25
CapU,Domestic,201430,9/1/2014 0:00,6525,26038,63848.25
CapU,Domestic,201510,1/1/2015 0:00,6124,23894,57674.75
CapU,Domestic,201520,5/1/2015 0:00,2275,4208,10655.5
CapU,Domestic,201530,9/1/2015 0:00,5939,23437,59540
CapU,Domestic,201610,1/1/2016 0:00,5533,21485,53605.75
CapU,Domestic,201620,5/1/2016 0:00,2165,4065,10136
CapU,Domestic,201630,9/1/2016 0:00,5705,22375,57595.25
CapU,Domestic,201710,1/1/2017 0:00,5370,20627,52055.25
CapU,Domestic,201720,5/1/2017 0:00,2108,3884,9626.5
CapU,Domestic,201730,9/1/2017 0:00,5584,21879,56539.25
CapU,Domestic,201810,1/1/2018 0:00,5314,20175,50664.75
CapU,Domestic,201820,5/1/2018 0:00,1934,3844,8927
CapU,Domestic,201830,9/1/2018 0:00,5437,20761,53902.25
CapU,Domestic,201910,1/1/2019 0:00,5011,18879,48487
CapU,Domestic,201920,5/1/2019 0:00,1792,3691,9265
CapU,Domestic,201930,9/1/2019 0:00,5236,19996,51766.75
CapU,Domestic,202010,1/1/2020 0:00,4764,18156,45985
CapU,Domestic,202020,5/1/2020 0:00,1792,4195,9903
CapU,Domestic,202030,9/1/2020 0:00,5083,20139,50499
CapU,Domestic,202110,1/1/2021 0:00,4955,18466,47025.25
CapU,Domestic,202120,5/1/2021 0:00,2221,5458,12790
CapU,Domestic,202130,9/1/2021 0:00,5024,19097,50514.25
CapU,Domestic,202210,1/1/2022 0:00,4711,16711,43640
CapU,Domestic,202220,5/1/2022 0:00,1785,3810,9846.5
CapU,Domestic,202230,9/1/2022 0:00,5021,18466,48511.5
CapU,Domestic,202310,1/1/2023 0:00,4464,16405,44359.25
CapU,International,200820,5/1/2008 0:00,337,612,2406.5
CapU,International,200830,9/1/2008 0:00,1161,3175,10005.75
CapU,International,200910,1/1/2009 0:00,1043,2810,8937.75
CapU,International,200920,5/1/2009 0:00,318,596,2338.5
CapU,International,200930,9/1/2009 0:00,880,2466,8613.75
CapU,International,201010,1/1/2010 0:00,983,2565,8958.25
CapU,International,201020,5/1/2010 0:00,436,746,3375
CapU,International,201030,9/1/2010 0:00,794,2370,8552
CapU,International,201110,1/1/2011 0:00,750,2327,7589
CapU,International,201120,5/1/2011 0:00,458,804,3218
CapU,International,201130,9/1/2011 0:00,648,2305,7759.5
CapU,International,201210,1/1/2012 0:00,610,2173,6999.5
CapU,International,201220,5/1/2012 0:00,342,610,2419.5
CapU,International,201230,9/1/2012 0:00,666,2394,7652.75
CapU,International,201310,1/1/2013 0:00,655,2309,7303
CapU,International,201320,5/1/2013 0:00,369,750,2939
CapU,International,201330,9/1/2013 0:00,672,2428,7874.5
CapU,International,201410,1/1/2014 0:00,665,2481,7719.75
CapU,International,201420,5/1/2014 0:00,422,884,3350.5
CapU,International,201430,9/1/2014 0:00,795,2761,9385.5
CapU,International,201510,1/1/2015 0:00,751,2726,8700.75
CapU,International,201520,5/1/2015 0:00,470,1025,3650.5
CapU,International,201530,9/1/2015 0:00,909,3245,10737.5
CapU,International,201610,1/1/2016 0:00,849,3279,9842.75
CapU,International,201620,5/1/2016 0:00,560,1240,4035
CapU,International,201630,9/1/2016 0:00,1057,3817,12289
CapU,International,201710,1/1/2017 0:00,1025,3884,11742.5
CapU,International,201720,5/1/2017 0:00,672,1502,5010
CapU,International,201730,9/1/2017 0:00,1303,4709,15221.5
CapU,International,201810,1/1/2018 0:00,1498,5510,16430.25
CapU,International,201820,5/1/2018 0:00,1184,3186,9669
CapU,International,201830,9/1/2018 0:00,1877,6831,21440.75
CapU,International,201910,1/1/2019 0:00,1985,7125,21649.75
CapU,International,201920,5/1/2019 0:00,1723,4924,14790.5
CapU,International,201930,9/1/2019 0:00,2675,9790,29672.5
CapU,International,202010,1/1/2020 0:00,2630,9503,28474.5
CapU,International,202020,5/1/2020 0:00,1803,5269,15807
CapU,International,202030,9/1/2020 0:00,2313,8346,25019.25
CapU,International,202110,1/1/2021 0:00,1998,7295,21761.5
CapU,International,202120,5/1/2021 0:00,1323,3643,10828.5
CapU,International,202130,9/1/2021 0:00,1780,6710,19813
CapU,International,202210,1/1/2022 0:00,1645,6179,18324.25
CapU,International,202220,5/1/2022 0:00,1268,3602,10646
CapU,International,202230,9/1/2022 0:00,2183,8388,24457
CapU,International,202310,1/1/2023 0:00,2591,9551,28413.75
AS,Domestic,200820,5/1/2008 0:00,631,1729,2871.25
AS,Domestic,200830,9/1/2008 0:00,2100,8574,19409
AS,Domestic,200910,1/1/2009 0:00,2033,7895,18329
AS,Domestic,200920,5/1/2009 0:00,644,1849,2912
AS,Domestic,200930,9/1/2009 0:00,2224,9025,20559.5
AS,Domestic,201010,1/1/2010 0:00,2117,8393,19527
AS,Domestic,201020,5/1/2010 0:00,644,1604,2819
AS,Domestic,201030,9/1/2010 0:00,2280,9385,21405.75
AS,Domestic,201110,1/1/2011 0:00,2224,8183,19788.75
AS,Domestic,201120,5/1/2011 0:00,615,1226,2677
AS,Domestic,201130,9/1/2011 0:00,2308,8849,21313.75
AS,Domestic,201210,1/1/2012 0:00,2129,7953,19123
AS,Domestic,201220,5/1/2012 0:00,533,997,2359
AS,Domestic,201230,9/1/2012 0:00,2209,8559,20616
AS,Domestic,201310,1/1/2013 0:00,2094,7632,18642.5
AS,Domestic,201320,5/1/2013 0:00,632,1152,2615
AS,Domestic,201330,9/1/2013 0:00,1981,7543,18296
AS,Domestic,201410,1/1/2014 0:00,1834,6922,16755.5
AS,Domestic,201420,5/1/2014 0:00,482,886,2070
AS,Domestic,201430,9/1/2014 0:00,1798,6960,16796
AS,Domestic,201510,1/1/2015 0:00,1608,6045,14474.5
AS,Domestic,201520,5/1/2015 0:00,444,804,1836
AS,Domestic,201530,9/1/2015 0:00,1532,6049,15107
AS,Domestic,201610,1/1/2016 0:00,1436,5405,13570
AS,Domestic,201620,5/1/2016 0:00,429,801,1791.5
AS,Domestic,201630,9/1/2016 0:00,1425,5456,14153.5
AS,Domestic,201710,1/1/2017 0:00,1374,5007,12992.5
AS,Domestic,201720,5/1/2017 0:00,420,755,1751
AS,Domestic,201730,9/1/2017 0:00,1440,5475,14271
AS,Domestic,201810,1/1/2018 0:00,1333,4840,12534.5
AS,Domestic,201820,5/1/2018 0:00,326,720,1526.5
AS,Domestic,201830,9/1/2018 0:00,1364,5149,13423
AS,Domestic,201910,1/1/2019 0:00,1307,4596,11876
AS,Domestic,201920,5/1/2019 0:00,308,652,1401
AS,Domestic,201930,9/1/2019 0:00,1233,4453,11534.5
AS,Domestic,202010,1/1/2020 0:00,1169,4022,10020
AS,Domestic,202020,5/1/2020 0:00,341,862,1761.5
AS,Domestic,202030,9/1/2020 0:00,1232,4438,11221
AS,Domestic,202110,1/1/2021 0:00,1250,4048,10347.5
AS,Domestic,202120,5/1/2021 0:00,411,1098,2411
AS,Domestic,202130,9/1/2021 0:00,1252,4450,11935.5
AS,Domestic,202210,1/1/2022 0:00,1214,3930,10172.5
AS,Domestic,202220,5/1/2022 0:00,363,814,2037.5
AS,Domestic,202230,9/1/2022 0:00,1272,4532,11973.5
AS,Domestic,202310,1/1/2023 0:00,1170,4040,11071
AS,International,200820,5/1/2008 0:00,85,168,426
AS,International,200830,9/1/2008 0:00,123,538,1234.5
AS,International,200910,1/1/2009 0:00,123,522,1224
AS,International,200920,5/1/2009 0:00,72,146,357
AS,International,200930,9/1/2009 0:00,101,414,983.5
AS,International,201010,1/1/2010 0:00,112,448,1098
AS,International,201020,5/1/2010 0:00,51,103,224
AS,International,201030,9/1/2010 0:00,95,377,870
AS,International,201110,1/1/2011 0:00,95,388,871.5
AS,International,201120,5/1/2011 0:00,29,57,141
AS,International,201130,9/1/2011 0:00,90,375,889.5
AS,International,201210,1/1/2012 0:00,89,337,817.5
AS,International,201220,5/1/2012 0:00,27,55,139
AS,International,201230,9/1/2012 0:00,73,287,652
AS,International,201310,1/1/2013 0:00,68,264,681
AS,International,201320,5/1/2013 0:00,30,60,151
AS,International,201330,9/1/2013 0:00,69,265,663
AS,International,201410,1/1/2014 0:00,67,268,659.5
AS,International,201420,5/1/2014 0:00,24,43,109
AS,International,201430,9/1/2014 0:00,75,322,787
AS,International,201510,1/1/2015 0:00,66,281,697
AS,International,201520,5/1/2015 0:00,28,56,156
AS,International,201530,9/1/2015 0:00,66,275,712
AS,International,201610,1/1/2016 0:00,84,344,911
AS,International,201620,5/1/2016 0:00,83,123,344
AS,International,201630,9/1/2016 0:00,102,403,1065
AS,International,201710,1/1/2017 0:00,115,437,1196
AS,International,201720,5/1/2017 0:00,55,124,338.5
AS,International,201730,9/1/2017 0:00,157,637,1691
AS,International,201810,1/1/2018 0:00,293,1049,2846.5
AS,International,201820,5/1/2018 0:00,272,871,2295
AS,International,201830,9/1/2018 0:00,449,1631,4516
AS,International,201910,1/1/2019 0:00,604,2183,6040
AS,International,201920,5/1/2019 0:00,704,2227,6064
AS,International,201930,9/1/2019 0:00,969,3554,9897.5
AS,International,202010,1/1/2020 0:00,999,3639,10196
AS,International,202020,5/1/2020 0:00,820,2691,7777.5
AS,International,202030,9/1/2020 0:00,866,3263,9191.5
AS,International,202110,1/1/2021 0:00,735,2698,7638
AS,International,202120,5/1/2021 0:00,495,1533,4267.5
AS,International,202130,9/1/2021 0:00,487,1772,4910.75
AS,International,202210,1/1/2022 0:00,413,1427,3962
AS,International,202220,5/1/2022 0:00,408,1354,3791
AS,International,202230,9/1/2022 0:00,658,2516,6930
AS,International,202310,1/1/2023 0:00,872,3223,8997.5
BPS,Domestic,200820,5/1/2008 0:00,780,1814,4299.25
BPS,Domestic,200830,9/1/2008 0:00,1554,5561,14333
BPS,Domestic,200910,1/1/2009 0:00,1622,6029,14878.75
BPS,Domestic,200920,5/1/2009 0:00,864,2002,4653.25
BPS,Domestic,200930,9/1/2009 0:00,1805,6378,16495.5
BPS,Domestic,201010,1/1/2010 0:00,1792,6604,16795
BPS,Domestic,201020,5/1/2010 0:00,981,2009,4754.25
BPS,Domestic,201030,9/1/2010 0:00,1944,6566,17219
BPS,Domestic,201110,1/1/2011 0:00,1921,6929,17818
BPS,Domestic,201120,5/1/2011 0:00,1055,2198,5244
BPS,Domestic,201130,9/1/2011 0:00,1986,6673,17996
BPS,Domestic,201210,1/1/2012 0:00,1988,7295,18801.5
BPS,Domestic,201220,5/1/2012 0:00,1047,2226,5215.25
BPS,Domestic,201230,9/1/2012 0:00,2067,7000,19060.25
BPS,Domestic,201310,1/1/2013 0:00,2097,7677,19842.25
BPS,Domestic,201320,5/1/2013 0:00,1027,2154,5186
BPS,Domestic,201330,9/1/2013 0:00,2058,7020,19551.75
BPS,Domestic,201410,1/1/2014 0:00,1902,7011,18751
BPS,Domestic,201420,5/1/2014 0:00,968,1954,5058.75
BPS,Domestic,201430,9/1/2014 0:00,2030,6962,19498.5
BPS,Domestic,201510,1/1/2015 0:00,1904,6759,18436.5
BPS,Domestic,201520,5/1/2015 0:00,861,1600,4547.5
BPS,Domestic,201530,9/1/2015 0:00,1817,6280,17883
BPS,Domestic,201610,1/1/2016 0:00,1662,6068,16710
BPS,Domestic,201620,5/1/2016 0:00,809,1555,4404.5
BPS,Domestic,201630,9/1/2016 0:00,1705,5755,16445.5
BPS,Domestic,201710,1/1/2017 0:00,1587,5595,15601.5
BPS,Domestic,201720,5/1/2017 0:00,756,1403,4083
BPS,Domestic,201730,9/1/2017 0:00,1628,5450,15597.5
BPS,Domestic,201810,1/1/2018 0:00,1545,5442,14803.5
BPS,Domestic,201820,5/1/2018 0:00,708,1304,3647.5
BPS,Domestic,201830,9/1/2018 0:00,1594,5213,14740
BPS,Domestic,201910,1/1/2019 0:00,1517,5160,14310.5
BPS,Domestic,201920,5/1/2019 0:00,694,1227,3515.5
BPS,Domestic,201930,9/1/2019 0:00,1525,4888,14040.5
BPS,Domestic,202010,1/1/2020 0:00,1426,4756,13211
BPS,Domestic,202020,5/1/2020 0:00,766,1472,4276
BPS,Domestic,202030,9/1/2020 0:00,1459,4943,14143.5
BPS,Domestic,202110,1/1/2021 0:00,1408,4796,13474.5
BPS,Domestic,202120,5/1/2021 0:00,804,1619,4662
BPS,Domestic,202130,9/1/2021 0:00,1354,4406,12594
BPS,Domestic,202210,1/1/2022 0:00,1328,4294,12049.5
BPS,Domestic,202220,5/1/2022 0:00,682,1449,4012
BPS,Domestic,202230,9/1/2022 0:00,1338,4176,11754
BPS,Domestic,202310,1/1/2023 0:00,1270,4012,11549.5
BPS,International,200820,5/1/2008 0:00,110,213,609
BPS,International,200830,9/1/2008 0:00,629,1623,4737
BPS,International,200910,1/1/2009 0:00,575,1414,4134
BPS,International,200920,5/1/2009 0:00,114,235,687
BPS,International,200930,9/1/2009 0:00,443,1135,3280
BPS,International,201010,1/1/2010 0:00,440,1157,3340
BPS,International,201020,5/1/2010 0:00,143,296,865.5
BPS,International,201030,9/1/2010 0:00,320,945,2730
BPS,International,201110,1/1/2011 0:00,364,1060,3039.5
BPS,International,201120,5/1/2011 0:00,271,505,1468
BPS,International,201130,9/1/2011 0:00,237,864,2452.5
BPS,International,201210,1/1/2012 0:00,231,838,2413
BPS,International,201220,5/1/2012 0:00,170,308,877.5
BPS,International,201230,9/1/2012 0:00,303,1104,3167.5
BPS,International,201310,1/1/2013 0:00,301,1037,3025
BPS,International,201320,5/1/2013 0:00,171,387,1156.5
BPS,International,201330,9/1/2013 0:00,296,1106,3253
BPS,International,201410,1/1/2014 0:00,273,1048,2988.5
BPS,International,201420,5/1/2014 0:00,202,451,1332
BPS,International,201430,9/1/2014 0:00,341,1257,3718.5
BPS,International,201510,1/1/2015 0:00,319,1223,3516
BPS,International,201520,5/1/2015 0:00,217,511,1515
BPS,International,201530,9/1/2015 0:00,409,1541,4680
BPS,International,201610,1/1/2016 0:00,375,1442,4258.5
BPS,International,201620,5/1/2016 0:00,258,619,1842.5
BPS,International,201630,9/1/2016 0:00,475,1689,5261
BPS,International,201710,1/1/2017 0:00,417,1623,4829
BPS,International,201720,5/1/2017 0:00,305,727,2305
BPS,International,201730,9/1/2017 0:00,542,1990,6246
BPS,International,201810,1/1/2018 0:00,593,2290,6836
BPS,International,201820,5/1/2018 0:00,476,1231,3796.5
BPS,International,201830,9/1/2018 0:00,718,2674,8363.5
BPS,International,201910,1/1/2019 0:00,772,2616,8348.5
BPS,International,201920,5/1/2019 0:00,583,1575,4700
BPS,International,201930,9/1/2019 0:00,958,3489,10612
BPS,International,202010,1/1/2020 0:00,938,3177,9772.5
BPS,International,202020,5/1/2020 0:00,642,1799,5380
BPS,International,202030,9/1/2020 0:00,841,2903,9135
BPS,International,202110,1/1/2021 0:00,740,2595,7853.5
BPS,International,202120,5/1/2021 0:00,508,1412,4219
BPS,International,202130,9/1/2021 0:00,694,2562,7653.5
